ID,NAME,NAME_allportdata,ABBREV,COUNTRY_CODE,LATITUDE_DECIMAL,LONGITUDE_DECIMAL,LATDD,LONGDD,MIN_T,MAX_T,RANGE_T,YR_MEAN_T,Salinity,Temp_Src,Sal_Src,MEOW_region,MEOW_province,MEOW_realm,FEOW_region,MEOW_Neighbors,FEOW_Neighbors,,,,,,
7748,Uskedal,Uskedal,NOR,NOR,59.9333,5.8833,59.93333,5.88333,1.61,13.82,12.21,6.29,3.07,Air,Drake_Model,Southern Norway,Northern European Seas,Temperate Northern Atlantic,Norwegian Sea Drainages,Baltic Sea|North Sea|Northern Norway and Finnmark|NA|NA|NA|NA|NA|NA,Barents Sea Drainages|Northern Baltic Drainages|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
7749,Tomra,Tomra,NOR,NOR,62.5811,6.9314,62.56667,6.91667,5.35,13.2,7.85,8.65,13.16,WOA,Drake_Model,Southern Norway,Northern European Seas,Temperate Northern Atlantic,Norwegian Sea Drainages,Baltic Sea|North Sea|Northern Norway and Finnmark|NA|NA|NA|NA|NA|NA,Barents Sea Drainages|Northern Baltic Drainages|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
7750,Anapa,Anapa,RUS,RUS,44.8833,37.3,44.88333,37.3,4.06,24.44,20.38,13.92,17.66,Air,WOA,Black Sea,Black Sea,Temperate Northern Atlantic,NA,Levantine Sea|Aegean Sea|NA|NA|NA|NA|NA|NA|NA,NA,,,,,,
7751,Revsnes,Revsnes,NOR,NOR,61.15,7.2667,61.15,7.26667,0.09,11.23,11.14,3.3,0,Air,DistIn,Southern Norway,Northern European Seas,Temperate Northern Atlantic,NA,Baltic Sea|North Sea|Northern Norway and Finnmark|NA|NA|NA|NA|NA|NA,NA,,,,,,
7752,Jeffersonville,Jeffersonville,USA,USA,38.2667,-85.75,38.26667,-85.75,3.2,26.16,22.96,15.2,0,Air,DistIn,NA,NA,NA,Teays - Old Ohio,NA,Upper Mississippi|Lower Mississippi|Tennessee|Appalachian Piedmont|Chesapeake Bay|Cumberland|Laurentian Great Lakes|NA|NA|NA|NA|NA|NA|NA,,,,,,
7754,Futila Terminal,NA,NA,AGO,-5.45,12.1833,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gulf of Guinea South,Gulf of Guinea,Tropical Atlantic,NA,Gulf of Guinea Central|Gulf of Guinea Islands|Angolan|NA|NA|NA|NA|NA|NA,NA,,,,,,
7755,Malongo Terminal,NA,NA,AGO,-5.4333,12.0833,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gulf of Guinea South,Gulf of Guinea,Tropical Atlantic,NA,Gulf of Guinea Central|Gulf of Guinea Islands|Angolan|NA|NA|NA|NA|NA|NA,NA,,,,,,
7756,Bonaberi,Bonaberi,CMR,CMR,4.0667,9.6833,4.06667,9.68333,26.16,28.43,2.27,27.43,27,Air,Close_Sal,Gulf of Guinea Central,Gulf of Guinea,Tropical Atlantic,NA,Gulf of Guinea Islands|Gulf of Guinea Upwelling|Gulf of Guinea South|NA|NA|NA|NA|NA|NA,NA,,,,,,
7757,Garoua,Garoua,CMR,CMR,9.2833,13.3667,9.28333,13.36667,26.77,31.27,4.5,28.55,0,Air,DistIn,NA,NA,NA,Lower Niger - Benue,NA,Inner Niger Delta|Lake Chad|Southern Gulf of Guinea Drainages|Northern Gulf of Guinea Drainages - Bioko|Sangha|Niger Delta|Bight Drainages|Volta|Dry Sahel|NA|NA|NA|NA|NA,,,,,,
7758,La Salineta,La Salineta,CNI,CNI,27.9781,-15.3784,27.96667,-15.36667,18.62,22.57,3.95,20.59,36.65,WOA,WOA,Azores Canaries Madeira,Lusitanian,Temperate Northern Atlantic,Canary Islands,Saharan Upwelling|NA|NA|NA|NA|NA|NA|NA|NA,NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
7759,Los Cristianos,Los Cristianos,CNI,CNI,28.0506,-16.7209,28.05,-16.71667,17.14,23.76,6.62,20.21,36.77,Air,WOA,Azores Canaries Madeira,Lusitanian,Temperate Northern Atlantic,Canary Islands,Saharan Upwelling|NA|NA|NA|NA|NA|NA|NA|NA,NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
7760,San Sebastian(CNI),San Sebastian(CNI),CNI,CNI,28.0833,-17.1167,28.08333,-17.11667,18.96,23.26,4.3,21.05,36.79,WOA,WOA,Azores Canaries Madeira,Lusitanian,Temperate Northern Atlantic,Canary Islands,Saharan Upwelling|NA|NA|NA|NA|NA|NA|NA|NA,NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
7761,Foumbouni,Foumbouni,COM,COM,-12.2833,43.7333,-12.28333,43.73333,25.41,28.67,3.26,27.1,35,WOA,WOA,Western and Northern Madagascar,Western Indian Ocean,Western Indo-Pacific,Comoros - Mayotte,Cargados Carajos/Tromelin Island|Mascarene Islands|Seychelles|Southeast Madagascar|East African Coral Coast|Bight of Sofala/Swamp Coast|NA|NA|NA,NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
7762,Longoni,Longoni,MYT,MYT,-12.7167,45.15,-12.71667,45.15,25.49,28.48,2.99,27.18,34.97,WOA,WOA,Western and Northern Madagascar,Western Indian Ocean,Western Indo-Pacific,NA,Cargados Carajos/Tromelin Island|Mascarene Islands|Seychelles|Southeast Madagascar|East African Coral Coast|Bight of Sofala/Swamp Coast|NA|NA|NA,NA,,,,,,
7763,Rasco Harbour,Rasco Hbr.,LBY,LBY,30.5333,18.6,30.53333,18.6,15.71,26.88,11.17,20.95,38.26,WOA,WOA,Tunisian Plateau/Gulf of Sidra,Mediterranean Sea,Temperate Northern Atlantic,NA,Levantine Sea|Ionian Sea|Aegean Sea|Western Mediterranean|NA|NA|NA|NA|NA,NA,,,,,,
7764,Port de L'Amitie,Port de L'Amitie,MRT,MRT,18,-16.0333,18,-16.03333,15.33,27.67,12.33,19.7,35.82,WOA,WOA,Sahelian Upwelling,West African Transition,Tropical Atlantic,NA,Cape Verde|Gulf of Guinea West|Saharan Upwelling|NA|NA|NA|NA|NA|NA,NA,,,,,,
7765,Kilwa Masoko,Kilwa Masoko,TZA,TZA,-8.9333,39.5167,-8.93333,39.51667,25.18,29.03,3.86,27.17,35.01,WOA,WOA,East African Coral Coast,Western Indian Ocean,Western Indo-Pacific,NA,Seychelles|Northern Monsoon Current Coast|Bight of Sofala/Swamp Coast|Western and Northern Madagascar|NA|NA|NA|NA|NA,NA,,,,,,
7766,Kilwa Kivinje,Kilwa Kivinje,TZA,TZA,-8.75,39.4167,-8.75,39.41667,25.26,28.89,3.62,27.15,35.02,WOA,WOA,East African Coral Coast,Western Indian Ocean,Western Indo-Pacific,NA,Seychelles|Northern Monsoon Current Coast|Bight of Sofala/Swamp Coast|Western and Northern Madagascar|NA|NA|NA|NA|NA,NA,,,,,,
7767,Pangani,Pangani,TZA,TZA,-5.45,39,-5.45,39,25.33,28.85,3.52,27.17,35.01,WOA,WOA,East African Coral Coast,Western Indian Ocean,Western Indo-Pacific,Coastal East Africa,Seychelles|Northern Monsoon Current Coast|Bight of Sofala/Swamp Coast|Western and Northern Madagascar|NA|NA|NA|NA|NA,Southern Eastern Rift|Malagarasi - Moyowosi|Mulanje|Lake Malawi|Lake Rukwa|Lower Zambezi|Pangani|NA|NA|NA|NA|NA|NA|NA,,,,,,
7768,Menzel Bourguiba,Menzel Bourguiba,TUN,TUN,37.15,9.8,37.15,9.8,12.92,27,14.08,19.83,16.16,Air,Drake_Model,Western Mediterranean,Mediterranean Sea,Temperate Northern Atlantic,Mediterranean Northwest Africa,Adriatic Sea|Tunisian Plateau/Gulf of Sidra|Ionian Sea|Alboran Sea|NA|NA|NA|NA|NA,Sahara|Atlantic Northwest Africa|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
7769,Mina Sulman,Mina Sulman,BHR,BHR,26.2022,50.61,26.24111,50.59278,18.81,31.75,12.94,25.68,39.7,WOA,WOA,Arabian (Persian) Gulf,Somali/Arabian,Western Indo-Pacific,NA,Gulf of Oman|Western Arabian Sea|NA|NA|NA|NA|NA|NA|NA,NA,,,,,,
7770,Sitra,Sitra,BHR,BHR,26.1542,50.6317,26.15417,50.63167,18.57,31.67,13.11,25.57,39.7,WOA,WOA,Arabian (Persian) Gulf,Somali/Arabian,Western Indo-Pacific,NA,Gulf of Oman|Western Arabian Sea|NA|NA|NA|NA|NA|NA|NA,NA,,,,,,
7771,Kalingapatnam,Kalingapatnam,IND,IND,18.3333,84.1333,18.33333,84.13333,24.02,29.97,5.95,27.71,31.1,Air,WOA,Eastern India,Bay of Bengal,Western Indo-Pacific,NA,Northern Bay of Bengal|South India and Sri Lanka|Western India|NA|NA|NA|NA|NA|NA,NA,,,,,,
7772,Vengurla,Vengurla,IND,IND,15.8333,73.6167,15.83333,73.61667,26.85,29.6,2.75,28.29,35.17,Air,WOA,Western India,West and South Indian Shelf,Western Indo-Pacific,NA,Eastern India|Gulf of Oman|Maldives|South India and Sri Lanka|NA|NA|NA|NA|NA,NA,,,,,,
7773,Zhicheng,Zhicheng,CHN,CHN,30.3167,111.5,30.31667,111.5,6.88,28.29,21.41,18.6,0,Air,DistIn,NA,NA,NA,Middle Yangtze,NA,Upper Yangtze|Lower Yangtze|Xi Yiang|Er Hai|Song Hong|Yunnan Lakes|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
7774,Niigata-Higashi,Niigata-Higashi,JPN,JPN,37.9869,139.2355,38,139.23333,9.4,26.02,16.62,16.8,33.47,WOA,WOA,Sea of Japan/East Sea,Cold Temperate Northwest Pacific,Temperate Northern Pacific,Honshu - Shikoku - Kyushu,Central Kuroshio Current|East China Sea|Northeastern Honshu|Oyashio Current|Sea of Okhotsk|Yellow Sea|NA|NA|NA,Biwa Ko|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
7775,Teluk Nibung,Teluk Nibung,IDN,IDN,3,99.8167,3,99.81667,28.51,29.96,1.45,29.51,33.1,WOA,WOA,Malacca Strait,Sunda Shelf,Central Indo-Pacific,Northern Central Sumatra - Western Malaysia,Andaman and Nicobar Islands|Andaman Sea Coral Coast|Gulf of Thailand|Western Sumatra|Sunda Shelf/Java Sea|NA|NA|NA|NA,Lower & Middle Salween|Malay Peninsula Eastern Slope|Aceh|Southern Central Sumatra|Indian Ocean Slope of Sumatra & Java|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
7776,Gunung Sitoli,Gunung Sitoli,IDN,IDN,1.2833,97.6167,1.28333,97.61667,27.96,30.17,2.21,28.85,33.54,WOA,WOA,Western Sumatra,Andaman,Western Indo-Pacific,Indian Ocean Slope of Sumatra & Java,Andaman and Nicobar Islands|Andaman Sea Coral Coast|Malacca Strait|Southern Java|Sunda Shelf/Java Sea|NA|NA|NA|NA,Aceh|Northern Central Sumatra - Western Malaysia|Southern Central Sumatra|Southern Sumatra - Western Java|Central & Eastern Java|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
7777,Kempo,Kempo,IDN,IDN,-8.6667,118.1833,-8.66667,118.18333,25.28,27.22,1.94,26.3,34.04,Air,WOA,Lesser Sunda,Western Coral Triangle,Central Indo-Pacific,Lesser Sunda Islands,Banda Sea|Bonaparte Coast|Exmouth to Broome|Sulawesi Sea/Makassar Strait|Southern Java|Sunda Shelf/Java Sea|NA|NA|NA,NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
7778,Majene,Majene,IDN,IDN,-3.55,118.9667,-3.55,118.96667,28.29,30.03,1.74,29.1,33.08,WOA,WOA,Sulawesi Sea/Makassar Strait,Western Coral Triangle,Central Indo-Pacific,NA,Banda Sea|Eastern Philippines|Halmahera|Lesser Sunda|Northeast Sulawesi|Palawan/North Borneo|Sunda Shelf/Java Sea|NA|NA,NA,,,,,,
7779,Pasuruan,Pasuruan,IDN,IDN,-7.6167,112.8833,-7.61667,112.88333,26.85,28.5,1.65,27.74,32.91,Air,WOA,Sunda Shelf/Java Sea,Sunda Shelf,Central Indo-Pacific,Central & Eastern Java,Gulf of Thailand|Lesser Sunda|Malacca Strait|Palawan/North Borneo|South China Sea Oceanic Islands|Southern Vietnam|Sulawesi Sea/Makassar Strait|Southern Java|Western Sumatra,Southern Sumatra - Western Java|Indian Ocean Slope of Sumatra & Java|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
7780,Penuba,Penuba,IDN,IDN,-0.3333,104.4667,-0.33333,104.46667,27.67,30.26,2.6,29.03,31.31,WOA,WOA,Sunda Shelf/Java Sea,Sunda Shelf,Central Indo-Pacific,NA,Gulf of Thailand|Lesser Sunda|Malacca Strait|Palawan/North Borneo|South China Sea Oceanic Islands|Southern Vietnam|Sulawesi Sea/Makassar Strait|Southern Java|Western Sumatra,NA,,,,,,
7781,Tapaktuan,Tapaktuan,IDN,IDN,3.2667,97.2,3.26667,97.2,25.6,26.47,0.87,26.12,33.77,Air,WOA,Western Sumatra,Andaman,Western Indo-Pacific,Aceh,Andaman and Nicobar Islands|Andaman Sea Coral Coast|Malacca Strait|Southern Java|Sunda Shelf/Java Sea|NA|NA|NA|NA,Northern Central Sumatra - Western Malaysia|Indian Ocean Slope of Sumatra & Java|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
7782,Soroosh Terminal,NA,NA,IRN,29.0333,49.4667,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arabian (Persian) Gulf,Somali/Arabian,Western Indo-Pacific,NA,Gulf of Oman|Western Arabian Sea|NA|NA|NA|NA|NA|NA|NA,NA,,,,,,
7783,Samil,Samil,KOR,KOR,34.8667,127.7833,34.86667,127.78333,4.2,27.15,22.95,15.86,33.4,Air,WOA,East China Sea,Warm Temperate Northwest Pacific,Temperate Northern Pacific,NA,Central Kuroshio Current|Sea of Japan/East Sea|South Kuroshio|Southern China|Yellow Sea|NA|NA|NA|NA,NA,,,,,,
7784,Tanjong Kidurong,Tanjong Kidurong,MYS,MYS,3.2658,113.0698,3.26667,113.05,28.19,29.4,1.21,28.9,32.01,WOA,WOA,Sunda Shelf/Java Sea,Sunda Shelf,Central Indo-Pacific,NA,Gulf of Thailand|Lesser Sunda|Malacca Strait|Palawan/North Borneo|South China Sea Oceanic Islands|Southern Vietnam|Sulawesi Sea/Makassar Strait|Southern Java|Western Sumatra,NA,,,,,,
7785,Sarikei,Sarikei,MYS,MYS,2.1333,111.5167,2.13333,111.51667,26.62,27.66,1.04,27.2,0.85,Air,Drake_Model,Sunda Shelf/Java Sea,Sunda Shelf,Central Indo-Pacific,Northwestern Borneo,Gulf of Thailand|Lesser Sunda|Malacca Strait|Palawan/North Borneo|South China Sea Oceanic Islands|Southern Vietnam|Sulawesi Sea/Makassar Strait|Southern Java|Western Sumatra,Kapuas|Borneo Highlands|Northeastern Borneo|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
7786,Basco,Basco,PHL,PHL,20.45,121.9667,20.45,121.96667,25.25,29.16,3.91,27.34,34.34,WOA,WOA,South Kuroshio,South Kuroshio,Central Indo-Pacific,Northern Philippine Islands,Central Kuroshio Current|East China Sea|Eastern Philippines|South China Sea Oceanic Islands|Southern China|NA|NA|NA|NA,NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
7787,Pagbilao,Pagbilao,PHL,PHL,13.85,121.75,13.85,121.75,26.08,28.56,2.48,27.51,34.07,Air,WOA,Eastern Philippines,Western Coral Triangle,Central Indo-Pacific,NA,Halmahera|Palawan/North Borneo|South China Sea Oceanic Islands|South Kuroshio|Sulawesi Sea/Makassar Strait|West Caroline Islands|NA|NA|NA,NA,,,,,,
7788,Santa Cruz(Marinduque PHL),Santa Cruz(Marinduque PHL),PHL,PHL,13.5,122.05,13.5,122.05,25.84,28.15,2.31,27.17,34.08,Air,WOA,Eastern Philippines,Western Coral Triangle,Central Indo-Pacific,Northern Philippine Islands,Halmahera|Palawan/North Borneo|South China Sea Oceanic Islands|South Kuroshio|Sulawesi Sea/Makassar Strait|West Caroline Islands|NA|NA|NA,NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
7789,Tandoc,Tandoc,PHL,PHL,14.05,123.3,14.05,123.3,26.69,30.15,3.46,28.52,34.35,WOA,WOA,Eastern Philippines,Western Coral Triangle,Central Indo-Pacific,Northern Philippine Islands,Halmahera|Palawan/North Borneo|South China Sea Oceanic Islands|South Kuroshio|Sulawesi Sea/Makassar Strait|West Caroline Islands|NA|NA|NA,NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
7790,King Fahd Port(Yanbu),King Fahd Port(Yanbu),SAU,SAU,23.95,38.2167,23.95,38.21667,25.04,30.75,5.71,28,39.36,WOA,WOA,Northern and Central Red Sea,Red Sea and Gulf of Aden,Western Indo-Pacific,NA,Southern Red Sea|Levantine Sea|NA|NA|NA|NA|NA|NA|NA,NA,,,,,,
7791,Jurong Port,Jurong Port,SGP,SGP,1.3028,103.7203,1.3,103.71667,26.7,27.87,1.17,27.37,31.85,Air,WOA,Malacca Strait,Sunda Shelf,Central Indo-Pacific,Malay Peninsula Eastern Slope,Andaman and Nicobar Islands|Andaman Sea Coral Coast|Gulf of Thailand|Western Sumatra|Sunda Shelf/Java Sea|NA|NA|NA|NA,Lower & Middle Salween|Mae Khlong|Northern Central Sumatra - Western Malaysia|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
7792,Nishtun,Nishtun,YEM,YEM,15.8167,52.2333,15.81667,52.23333,23.25,28.96,5.71,26.16,35.74,WOA,WOA,Western Arabian Sea,Somali/Arabian,Western Indo-Pacific,NA,Arabian (Persian) Gulf|Gulf of Aden|Gulf of Oman|Southern Red Sea|NA|NA|NA|NA|NA,NA,,,,,,
7793,Dam Mon,Dam Mon,VNM,VNM,12.6667,109.3833,12.66667,109.38333,24.86,28.5,3.64,26.98,33.53,WOA,WOA,Southern Vietnam,Sunda Shelf,Central Indo-Pacific,NA,Gulf of Thailand|Gulf of Tonkin|South China Sea Oceanic Islands|Sunda Shelf/Java Sea|NA|NA|NA|NA|NA,NA,,,,,,
7794,Nam Can,Nam Can,VNM,VNM,8.75,104.9833,8.75,104.98333,26.92,28.83,1.91,27.95,32.9,Air,WOA,Southern Vietnam,Sunda Shelf,Central Indo-Pacific,Mekong Delta,Gulf of Thailand|Gulf of Tonkin|South China Sea Oceanic Islands|Sunda Shelf/Java Sea|NA|NA|NA|NA|NA,Southern Annam|Khorat Plateau (Mekong)|Kratie - Stung Treng (Mekong)|Chao Phraya|Eastern Gulf of Thailand Drainages|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
7795,Nghe Tinh,Nghe Tinh,VNM,VNM,18.65,105.7,18.65,105.7,21.79,28.83,7.04,26.45,6.4,Air,Drake_Model,Gulf of Tonkin,South China Sea,Central Indo-Pacific,Northern Annam,Gulf of Thailand|Northern Bay of Bengal|South China Sea Oceanic Islands|Southern China|Southern Vietnam|NA|NA|NA|NA,Song Hong|Southern Annam|Lower Lancang (Mekong)|Khorat Plateau (Mekong)|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
7796,Thanh Hoa,Thanh Hoa,VNM,VNM,19.8167,105.8,19.81667,105.8,18.88,29.6,10.72,25.41,32.03,WOA,WOA,Gulf of Tonkin,South China Sea,Central Indo-Pacific,Northern Annam,Gulf of Thailand|Northern Bay of Bengal|South China Sea Oceanic Islands|Southern China|Southern Vietnam|NA|NA|NA|NA,Song Hong|Southern Annam|Lower Lancang (Mekong)|Khorat Plateau (Mekong)|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
7797,La Estaca,La Estaca,CNI,CNI,27.7872,-17.9022,27.78333,-17.9,19.06,23.09,4.03,21.12,36.82,WOA,WOA,Azores Canaries Madeira,Lusitanian,Temperate Northern Atlantic,Canary Islands,Saharan Upwelling|NA|NA|NA|NA|NA|NA|NA|NA,NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
7798,Germersheim,Germersheim,DEU,DEU,49.2167,8.3833,49.21667,8.38333,4.13,21.41,17.28,12.36,0,Air,DistIn,North Sea,Northern European Seas,Temperate Northern Atlantic,Central & Western Europe,Baltic Sea|Celtic Seas|Faroe Plateau|South European Atlantic Shelf|Southern Norway|NA|NA|NA|NA,Northern British Isles|Cantabric Coast - Languedoc|Upper Danube|Dniester - Lower Danube|Gulf of Venice Drainages|Dnieper - South Bug|Southern Baltic Lowlands|NA|NA|NA|NA|NA|NA|NA,,,,,,
7799,Zrenjanin,Zrenjanin,SCG,SCG,45.3667,20.3833,45.36667,10.38333,3.99,24.53,20.54,14.22,0,Air,DistIn,NA,NA,NA,Dniester - Lower Danube,NA,Central & Western Europe|Upper Danube|Gulf of Venice Drainages|Dalmatia|Southeast Adriatic Drainages|Vardar|Thrace|Dnieper - South Bug|NA|NA|NA|NA|NA|NA,,,,,,
7800,Montague Is.,NA,NA,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
7801,Muldwarka,Muldwarka,IND,IND,20.75,70.65,20.75,70.65,23.23,29.16,5.93,27,35.95,Air,WOA,Western India,West and South Indian Shelf,Western Indo-Pacific,NA,Eastern India|Gulf of Oman|Maldives|South India and Sri Lanka|NA|NA|NA|NA|NA,NA,,,,,,
7802,Ballycastle,Ballycastle,GBR,GBR,55.2167,-6.2333,55.21667,-6.23333,7.6,13.27,5.67,10.34,34.45,WOA,WOA,Celtic Seas,Northern European Seas,Temperate Northern Atlantic,NA,Faroe Plateau|South European Atlantic Shelf|North Sea|NA|NA|NA|NA|NA|NA,NA,,,,,,
7803,MacCulloch Field,NA,NA,GBR,58.3242,0.6983,NA,NA,NA,NA,NA,NA,NA,NA,NA,North Sea,Northern European Seas,Temperate Northern Atlantic,NA,Baltic Sea|Celtic Seas|Faroe Plateau|South European Atlantic Shelf|Southern Norway|NA|NA|NA|NA,NA,,,,,,
7804,Aquila Field,NA,NA,ITA,40.9,18.3333,NA,NA,NA,NA,NA,NA,NA,NA,NA,Adriatic Sea,Mediterranean Sea,Temperate Northern Atlantic,NA,Ionian Sea|Aegean Sea|Western Mediterranean|NA|NA|NA|NA|NA|NA,NA,,,,,,
7805,Ima Terminal,NA,NA,NGA,4.2167,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gulf of Guinea Central,Gulf of Guinea,Tropical Atlantic,NA,Gulf of Guinea Islands|Gulf of Guinea Upwelling|Gulf of Guinea South|NA|NA|NA|NA|NA|NA,NA,,,,,,
7806,Akko,Akko,ISR,ISR,32.9167,35.0667,32.91667,35.06667,14.63,27.66,13.03,21.89,38.94,Air,WOA,Levantine Sea,Mediterranean Sea,Temperate Northern Atlantic,NA,Black Sea|Northern and Central Red Sea|Tunisian Plateau/Gulf of Sidra|Ionian Sea|Aegean Sea|NA|NA|NA|NA,NA,,,,,,
7807,Gurskebotn,Gurskebotn,NOR,NOR,62.2167,5.65,62.21667,5.65,3.92,13.92,10,7.94,16.93,Air,Drake_Model,Southern Norway,Northern European Seas,Temperate Northern Atlantic,Norwegian Sea Drainages,Baltic Sea|North Sea|Northern Norway and Finnmark|NA|NA|NA|NA|NA|NA,Barents Sea Drainages|Northern Baltic Drainages|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
7808,Jinxi,Jinxi,CHN,CHN,40.7667,120.7833,40.76667,120.78333,0.07,25.03,24.96,10.58,31.16,Air,WOA,Yellow Sea,Cold Temperate Northwest Pacific,Temperate Northern Pacific,Liao He,East China Sea|Sea of Japan/East Sea|NA|NA|NA|NA|NA|NA|NA,Lower Huang He|Inner Mongolia Endorheic Basins|Songhua Jiang|Eastern Yellow Sea Drainages|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
7809,Sumoto,Sumoto,JPN,JPN,34.3333,134.8833,34.33333,134.88333,10.64,26.14,15.49,18.36,32.43,WOA,WOA,Central Kuroshio Current,Warm Temperate Northwest Pacific,Temperate Northern Pacific,Honshu - Shikoku - Kyushu,East China Sea|Northeastern Honshu|Ogasawara Islands|Sea of Japan/East Sea|South Kuroshio|NA|NA|NA|NA,Biwa Ko|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
7810,Hukou,Hukou,CHN,CHN,29.7,116.35,29.7,116.35,6.96,29.09,22.13,19.08,0,Air,DistIn,East China Sea,Warm Temperate Northwest Pacific,Temperate Northern Pacific,Lower Yangtze,Central Kuroshio Current|Sea of Japan/East Sea|South Kuroshio|Southern China|Yellow Sea|NA|NA|NA|NA,Lower Huang He|Upper Yangtze|Coastal Fujian - Zeijang|Xi Yiang|Middle Yangtze|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
7811,Langevag,Langevag,NOR,NOR,62.4375,6.1894,62.43333,6.25,3.58,14.12,10.54,7.92,22.47,Air,Drake_Model,Southern Norway,Northern European Seas,Temperate Northern Atlantic,Norwegian Sea Drainages,Baltic Sea|North Sea|Northern Norway and Finnmark|NA|NA|NA|NA|NA|NA,Barents Sea Drainages|Northern Baltic Drainages|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
7812,Ieshima,Ieshima,JPN,JPN,34.6667,134.5,34.66667,134.5,8.76,26.22,17.46,17.43,31.85,WOA,WOA,Central Kuroshio Current,Warm Temperate Northwest Pacific,Temperate Northern Pacific,NA,East China Sea|Northeastern Honshu|Ogasawara Islands|Sea of Japan/East Sea|South Kuroshio|NA|NA|NA|NA,NA,,,,,,
7813,Madisonville,Madisonville,USA,USA,30.4167,-90.15,30.41667,-90.15,12.12,27.94,15.82,21.4,28,Air,Close_Sal,Northern Gulf of Mexico,Warm Temperate Northwest Atlantic,Temperate Northern Atlantic,Lower Mississippi,Carolinian|Floridian|Southern Gulf of Mexico|NA|NA|NA|NA|NA|NA,Upper Mississippi|Ozark Highlands|Ouachita Highlands|Teays - Old Ohio|Tennessee|Mobile Bay|Sabine - Galveston|NA|NA|NA|NA|NA|NA|NA,,,,,,
7814,Chauvin,Chauvin,USA,USA,29.4333,-90.5833,29.43333,-90.58333,13.42,28.08,14.66,22.17,29.96,Air,Close_Sal,Northern Gulf of Mexico,Warm Temperate Northwest Atlantic,Temperate Northern Atlantic,Lower Mississippi,Carolinian|Floridian|Southern Gulf of Mexico|NA|NA|NA|NA|NA|NA,Upper Mississippi|Ozark Highlands|Ouachita Highlands|Teays - Old Ohio|Tennessee|Mobile Bay|Sabine - Galveston|NA|NA|NA|NA|NA|NA|NA,,,,,,
7815,Georgia,NA,NA,GEO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
7816,Kumamoto,Kumamoto,JPN,JPN,32.8333,130.7,32.83333,130.7,7.49,28.5,21.01,18.59,11.02,Air,Drake_Model,Central Kuroshio Current,Warm Temperate Northwest Pacific,Temperate Northern Pacific,Honshu - Shikoku - Kyushu,East China Sea|Northeastern Honshu|Ogasawara Islands|Sea of Japan/East Sea|South Kuroshio|NA|NA|NA|NA,Biwa Ko|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
